N,Triton,Torch (native),Torch (jit)
256.0,414.8,438.0,156.9
384.0,458.8,468.1,152.4
512.0,477.1,470.0,151.5
640.0,487.6,465.5,152.8
768.0,499.3,471.5,155.1
896.0,506.3,466.7,157.6
1024.0,511.5,468.1,161.3
1152.0,511.3,470.4,163.1
1280.0,512.0,487.1,166.1
1408.0,512.0,437.0,167.6
1536.0,514.8,474.9,167.1
1664.0,514.9,463.2,169.4
1792.0,516.6,486.0,170.8
1920.0,515.8,472.6,171.7
2048.0,517.3,489.1,172.7
2176.0,516.4,459.9,169.8
2304.0,516.5,465.2,172.3
2432.0,514.4,460.6,173.6
2560.0,514.4,470.8,174.3
2688.0,512.2,390.1,174.9
2816.0,512.3,403.6,175.5
2944.0,510.7,411.9,176.1
3072.0,511.5,420.1,176.3
3200.0,511.2,390.8,176.6
3328.0,510.4,412.0,177.0
3456.0,507.5,448.6,177.2
3584.0,510.1,465.3,175.0
3712.0,507.6,458.0,177.1
3840.0,508.4,465.1,177.8
3968.0,506.1,465.6,177.5
4096.0,505.9,510.2,178.1
4224.0,512.0,499.2,178.3
4352.0,512.4,490.0,171.4
4480.0,512.0,481.1,174.1
4608.0,513.4,470.2,174.9
4736.0,510.0,466.4,176.8
4864.0,512.0,452.3,178.0
4992.0,510.5,442.8,178.3
5120.0,511.7,431.8,178.8
5248.0,508.5,427.5,179.0
5376.0,509.7,415.1,179.2
5504.0,508.5,407.7,179.2
5632.0,509.1,397.4,179.5
5760.0,506.2,395.2,179.2
5888.0,508.5,384.8,179.2
6016.0,506.2,379.2,179.8
6144.0,506.6,384.6,179.9
6272.0,506.0,379.1,179.9
6400.0,506.9,372.6,180.0
6528.0,504.7,365.8,180.1
6656.0,506.4,361.5,180.1
6784.0,504.8,356.7,180.2
6912.0,505.0,351.2,180.1
7040.0,503.1,346.3,180.2
7168.0,504.9,342.5,178.6
7296.0,503.2,341.7,179.7
7424.0,505.5,336.5,180.3
7552.0,503.5,331.7,180.2
7680.0,504.5,327.7,180.7
7808.0,502.9,328.8,180.6
7936.0,505.2,322.9,180.5
8064.0,502.0,320.2,180.7
8192.0,502.2,318.4,180.3
8320.0,512.6,323.1,179.1
8448.0,514.2,320.4,179.5
8576.0,512.4,316.4,179.5
8704.0,515.7,313.1,179.6
8832.0,512.8,313.7,179.9
8960.0,514.3,309.8,180.1
9088.0,512.5,306.0,180.2
9216.0,514.0,301.5,180.4
9344.0,513.4,308.3,180.5
9472.0,514.4,304.9,180.6
9600.0,512.2,301.3,180.7
9728.0,513.6,298.5,180.8
9856.0,511.6,315.4,180.7
9984.0,513.6,303.1,180.9
10112.0,511.1,296.1,181.0
10240.0,513.6,296.0,180.9
10368.0,510.4,301.1,180.3
10496.0,512.1,297.3,180.4
10624.0,510.8,291.8,180.4
10752.0,513.5,288.1,180.6
10880.0,510.5,291.8,180.7
11008.0,512.6,287.3,180.8
11136.0,510.7,283.7,180.9
11264.0,512.0,282.5,181.0
11392.0,456.7,285.7,181.2
11520.0,511.9,281.6,181.2
11648.0,509.2,279.7,181.2
11776.0,510.9,278.7,181.3
11904.0,509.9,278.2,181.3
12032.0,510.9,277.3,181.4
12160.0,508.4,276.4,181.5
12288.0,510.4,278.1,181.4
12416.0,509.4,278.0,181.0
12544.0,510.3,277.5,181.0
12672.0,508.2,277.0,181.1
