M,cuBLAS,Triton
256.0,4.9,2.6
384.0,9.8,6.8
512.0,19.4,12.9
640.0,26.3,13.7
768.0,28.3,14.7
896.0,39.0,20.1
1024.0,51.7,26.2
1152.0,36.1,17.4
1280.0,44.5,21.3
1408.0,54.2,26.3
1536.0,49.8,21.3
1664.0,52.1,25.0
1792.0,54.9,28.8
1920.0,52.6,24.8
2048.0,60.1,28.6
2176.0,45.8,25.8
2304.0,51.4,29.1
2432.0,57.4,27.0
2560.0,62.1,29.2
2688.0,52.3,27.9
2816.0,56.9,27.3
2944.0,61.6,29.3
3072.0,54.5,28.4
3200.0,57.9,27.7
3328.0,61.5,29.7
3456.0,56.2,29.3
3584.0,59.8,29.2
3712.0,55.7,28.7
3840.0,58.9,28.3
3968.0,56.0,28.5
4096.0,59.2,28.5
